synthesis_file,source_tables,claim_role,main_or_appendix,required_caveat
thesis_synthesis_aligned/thesis_master_evidence_table_aligned.csv,main_results_market_fe_rankpct.csv; dynamic_fba_premium_inference_rankpct.csv; dynamic_starting_rank_adjustment_diagnostics_rankpct.csv; dynamic_rank_tier_stress_diagnostics_rankpct.csv; dynamic_distance_banded_turnover_rankpct.csv,compact thesis-facing master evidence table,main,summarizes observational fixed-effects associations only; it is not a causal proof table
thesis_synthesis_aligned/thesis_functional_form_fragility_aligned.csv,functional_form_fragility_summary_rankpct.csv; bounded_outcome_diagnostics_rankpct.csv; fractional_logit_ape_rankpct.csv,bounded-outcome and functional-form caveat,main,narrows magnitude interpretation rather than refuting the linear projection
thesis_synthesis_aligned/thesis_logistics_value_adjusted_price_specification_aligned.csv,logistics_value_adjusted_price_results_rankpct.csv,FBA-only fast-delivery-cost sensitivity,appendix,constructed logistics-value proxy; not a causal robustness check
thesis_synthesis_aligned/thesis_oster_sensitivity_aligned.csv,omitted_variable_sensitivity_rankpct.csv; thesis_oster_sensitivity_grid.csv,omitted-confounding sensitivity,appendix,selection-on-observables diagnostic only
thesis_synthesis_aligned/thesis_oster_sensitivity_grid_aligned.csv,thesis_oster_sensitivity_grid.csv,Oster Rmax grid detail,appendix,grid detail is not a main result
thesis_synthesis_aligned/thesis_dropout_return_pattern_aligned.csv,dynamic_return_pattern_rankpct.csv; dynamic_return_pattern_summary_rankpct.csv,dropout/return context for stockout interpretation,appendix,seller disappearance is not randomized stockout variation
thesis_synthesis_aligned/thesis_pre_disappearance_abnormal_smoothness_aligned.csv,dynamic_pre_disappearance_smoothness_rankpct.csv; dynamic_pre_disappearance_smoothness_decision_rankpct.csv,pre-disappearance smoothness diagnostic,appendix,descriptive process diagnostic only
thesis_synthesis_aligned/thesis_consistency_warning_summary_aligned.csv,audit_consistency_checks.csv; numerical_pathology_summary.csv,audit warning audit,audit_only,"audit trail, not evidence of an estimand"
thesis_synthesis_aligned/thesis_price_interaction_key_result_aligned.csv,interaction_terms_rankpct.csv; interaction_interpretation_rankpct.csv,exploratory heterogeneity context,appendix,not causal moderation evidence
thesis_synthesis_aligned/thesis_price_interaction_margins_aligned.csv,interaction_margins_rankpct.csv,exploratory interaction margins,appendix,appendix visualization support only
thesis_synthesis_aligned/thesis_temporal_stability_aligned.csv,temporal_stability_rankpct.csv,descriptive temporal stability context,appendix,descriptive stability check only
thesis_synthesis_aligned/thesis_top10_stockout_zero_se_audit_aligned.csv,binary_top10_prominence_stockout_consistency_rankpct.csv; numerical_pathology_summary.csv,top-10 stockout zero-SE audit,audit_only,sparse-event numerical audit; not main salience evidence
thesis_synthesis_aligned/output_alignment_audit.csv,required output files,file-presence alignment audit,audit_only,presence/shape check only
