timestamp,venduto_da,spedito_da,spedizione_consegna,g_cons_min,g_cons_max,g_cons_min_original_parser,g_cons_max_original_parser,g_cons_min_robust,g_cons_max_robust
2022-03-04T18:01:41,Amazon,Amazon,"Consegna GRATUITA martedì, 8 marzo. Ordina entro 5 ore 58 min. Maggiori informazioni",0,0,,,4,4
2022-03-04T18:01:41,Amazon Warehouse,Amazon,"Consegna GRATUITA giovedì, 10 marzo sul tuo primo ordine idoneo. Maggiori informazioni",0,0,,,6,6
2022-03-04T18:01:41,Amazon,Amazon,"Consegna GRATUITA martedì, 8 marzo. Ordina entro 5 ore 58 min. Maggiori informazioni",0,0,,,4,4
2022-03-04T18:01:41,ZaarioGmbH,Amazon,"Consegna GRATUITA giovedì, 10 marzo. Maggiori informazioni oppure consegna più rapida mercoledì, 9 marzo. Ordina entro 1 ora 13 min. Maggiori informazioni",0,0,,,6,6
2022-03-04T18:01:41,SKY LINE E-COMM,Amazon,"Consegna GRATUITA giovedì, 10 marzo. Maggiori informazioni oppure consegna più rapida mercoledì, 9 marzo. Ordina entro 1 ora 13 min. Maggiori informazioni",0,0,,,6,6
2022-03-04T18:01:41,Yulus,Yulus,Consegna GRATUITA 14 - 16 marzo. Maggiori informazioni,0,0,,,10,12
2022-03-04T18:01:41,Welcome to Mall,Amazon,"Consegna GRATUITA mercoledì, 9 marzo. Ordina entro 3 ore 28 min. Maggiori informazioni",0,0,,,5,5
2022-03-04T18:01:41,Miranda Electronics,Amazon,"Consegna GRATUITA martedì, 8 marzo. Ordina entro 5 ore 58 min. Maggiori informazioni",0,0,,,4,4
2022-03-04T18:01:41,Bacom,Bacom,Consegna GRATUITA 14 - 17 marzo. Maggiori informazioni oppure consegna più rapida 11 - 15 marzo. Maggiori informazioni,0,0,,,10,13
2022-03-04T18:01:41,GoPrice,GoPrice,Consegna GRATUITA 10 - 15 marzo. Maggiori informazioni,0,0,,,6,11
2022-03-04T18:01:41,TechLead IT,Amazon,"Consegna GRATUITA mercoledì, 9 marzo. Ordina entro 1 ora 13 min. Maggiori informazioni",0,0,,,5,5
2022-03-04T18:01:41,Albaeleshop,Albaeleshop,Consegna GRATUITA 14 - 17 marzo. Maggiori informazioni,0,0,,,10,13
2022-03-04T18:01:41,Excellent Mi Store,Amazon,"Consegna GRATUITA martedì, 8 marzo. Ordina entro 5 ore 58 min. Maggiori informazioni",0,0,,,4,4
2022-03-04T18:01:41,New World EU Store,Amazon,"Consegna GRATUITA mercoledì, 9 marzo. Maggiori informazioni",0,0,,,5,5
2022-03-04T18:01:41,Bwilld,Amazon,"Consegna GRATUITA mercoledì, 9 marzo. Ordina entro 1 ora 13 min. Maggiori informazioni",0,0,,,5,5
2022-03-04T18:01:41,Mobile World S.A.,Amazon,"Consegna GRATUITA giovedì, 10 marzo. Maggiori informazioni",0,0,,,6,6
2022-03-04T18:01:41,i-Storeparts srl,i-Storeparts srl,"Consegna GRATUITA lunedì, 14 marzo. Maggiori informazioni oppure consegna più rapida 8 - 9 marzo. Maggiori informazioni",0,0,,,10,10
2022-03-04T18:01:41,oltrade,Amazon,"Consegna GRATUITA martedì, 8 marzo. Ordina entro 5 ore 58 min. Maggiori informazioni",0,0,,,4,4
2022-03-04T18:01:41,GIOIAPURA,GIOIAPURA,Consegna GRATUITA 9 - 11 marzo. Maggiori informazioni,0,0,,,5,7
2022-03-04T18:01:41,Juke Box,Juke Box,Consegna GRATUITA 11 - 16 marzo. Maggiori informazioni,0,0,,,7,12
