evidence_block,estimand,estimate,se,pvalue,inference,claim_role,required_interpretation
Static controlled FBA association,Within-market residual rank_pct gap,-0.0510381517062888,0.0159682300381216,0.0022065363914001,two_way_seller_market,main static association,conditional residual association; not an FBA adoption effect
Primary dynamic turnover premium,FBA x total seller-turnover rank movement,0.002467258032983,0.0007648028355501,0.0020342093109391,preferred_two_way_seller_transition_clustered,main dynamic association,turnover-conditional differential rank movement; observed turnover is not randomized
Dynamic starting-rank quartile adjustment,FBA x total seller-turnover rank movement with additive lag-rank quartile controls,0.0027099809272884,0.0008686856167433,0.0027821750222942,two-way seller-transition,main rank-position validation,controls starting-rank regions parsimoniously; q1 top quartile is omitted
Dynamic starting-rank quadratic adjustment,FBA x total seller-turnover rank movement with lag_rank_pct squared,0.0022779602229394,0.0006739026628144,0.0012783022681199,two-way seller-transition,main rank-position validation,smooth nonlinear starting-rank adjustment; avoids transition-cell saturation
Dynamic conservative inference,same as primary dynamic premium,0.002467258032983,0.0008031976494448,0.0248235842327697,CR2 transition,finite-cluster sensitivity,supports inference robustness but not identification
Dynamic wild-cluster bootstrap,same as primary dynamic premium,0.002467258032983,0.0007648028355501,0.0088317944600562,two-way wild cluster bootstrap,finite-cluster sensitivity,bootstrap supports inference robustness but not identification
Transition x rank-tier FE stress test,within transition and starting-rank-tier dynamic premium,-7.458859171159931e-05,0.0006987157998307,0.9153426786840676,two-way seller-transition with stricter FE,severe support-sensitive stress test,nonconfirmation in saturated cells; interpreted cautiously when condition number or within-cell support is weak
Complementary top-10 entry outcome,FBA x turnover effect on entering top 10 among at-risk sellers,0.0121736569531673,0.0050319133134459,0.0185992406824664,preferred_two_way_seller_transition_clustered_lpm,auxiliary salience evidence,rare-event visibility translation; not the primary empirical backbone
Fractional-logit bounded-outcome diagnostic,average partial effect on rank_pct,-0.0140650798202695,0.0116436337227347,0.2317239127640074,two_way_seller_market,functional-form diagnostic,does not confirm the linear magnitude; OLS is a linear projection
Quadratic-control functional-form sensitivity,within-market residual rank_pct gap with nonlinear controls,-0.0352286403913793,0.0122324935868499,0.0054802936627467,two_way_seller_market,functional-form diagnostic,confirms the sign but reduces the magnitude relative to headline OLS
Static FBA-only logistics-value-adjusted price (4.99 EUR baseline),Within-market residual rank_pct gap after FBA-only hidden fast-delivery value/cost imputation,-0.076010000198677,0.0155974508502731,8.167038103579216e-06,two_way_seller_market,post-treatment sensitivity estimand with respect to the FBA bundle,the adjusted price adds an imputed fast-delivery value/cost only to FBA listings with fast-delivery availability; it is not a directly observed checkout price and is not directly comparable to the split-price headline
