evidence_block,main_result,supports,outside_scope,required_caveat,final_claim_strength
Static raw association,"FBA coefficient -0.380, p=0.000",FBA offers are much better ranked in within-market comparisons.,A causal effect of adopting FBA.,No within-seller FBA switching and strong offer-bundle selection.,strong descriptive
Static controlled residual FBA premium,"FBA coefficient -0.051, p=0.002",A residual FBA-label premium after observed controls.,"The total FBA bundle effect, because some observed controls may be bundle components.","Price, shipping, delivery, and reputation may be mechanisms as well as controls.",moderate descriptive premium evidence
Attenuation accounting,absorbed share about 86.7%,Much of the raw FBA gap is tied to the observed commercial and logistics bundle.,A causal mediation decomposition through the observed controls.,"Sequential adjustment is accounting, not causal decomposition.",strong descriptive accounting
Overlap and common-support evidence,Residual FBA estimate is sensitive to propensity-score support restrictions.,Comparison-population sensitivity of the residual-label estimate.,A universal like-for-like zero effect across all support regions.,Common support is selected and does not recreate random assignment.,cautionary
Common-support selection diagnostics,Common-support non-FBA survivors are unusually strong ranking comparators.,The common-support collapse is partly a selection result.,Complete balance on unobserved seller quality.,Selection diagnostics change interpretation of trimmed estimates.,strong cautionary
Static inference robustness,"Two-way clustering, CR2-style correction, and wild bootstrap are reported.",The full-sample residual association is not only a naive OLS file.,Random assignment or causal identification by inference corrections alone.,"Finite-cluster corrections are sensitivity checks, not identification assumptions.",moderate robustness
Dynamic FBA turnover-premium headline,"premium=0.0025, p=0.002; conservative p=0.025","FBA sellers gain more rank position during seller-turnover transitions, conditional on seller fixed effects, transition fixed effects, lagged rank, lagged offer controls, total turnover, and directional churn composition.","A pure FBA main effect in a seller fixed-effects model, because FBA is time-invariant in the final seller panel.","Seller disappearances are observed offer-list absences, not randomized inventory shocks.",credible but rank-tier-sensitive FBA-premium evidence
Dynamic directional decomposition,"direction-balance term=-0.0001, p=0.953",The dynamic premium is better framed as general turnover response when the directional term is not central.,A strictly local above-turnover mechanism as the central channel.,The thesis should not claim local vacancy filling as the main mechanism.,mechanism decomposition
Dynamic above/below reference estimates,"above=0.0036, p=0.036; below=0.0034, p=0.004",A general turnover-premium interpretation when both above and below disappearances produce similar FBA adjustment.,Clean local-vacancy exogeneity.,"Above/below evidence is a decomposition of the final premium model, not the central claim criterion.",decomposition evidence
Rank-tier FE stress test,"rank-tier FE stress estimate=-0.0001, p=0.915",Transparency about whether the turnover premium survives a stricter starting-rank comparison.,A replacement for the preferred model when thin support absorbs the identifying variation.,This stress test belongs in the body. A null or negative estimate means the primary dynamic premium is absorbed within starting-rank tier.,body-level cautionary dynamic validity check
Pre-disappearance and dropout-context evidence,abnormal smoothness flags=1; return_share=0.500,Whether disappearing sellers show obvious prior deterioration or stockout-like temporary absence patterns.,Random assignment of seller disappearance.,"These are descriptive validation checks, not extra identifying controls in the main model.",contextual validation
Dynamic support and auxiliary stress tests,premium MDE=0.0021; implied mean-market shift=0.201,"Transparency about empirical support, detectable effect sizes, and sensitivity to rank mechanics.",A reason to treat every underpowered auxiliary null as a basis for overturning the premium estimate.,"Small-panel stress tests are context, not a replacement for the main design.",body-level caution
Overall conclusion,"The notebook's central evidence is a static residual FBA ranking premium plus a primary dynamic FBA-by-turnover premium. The primary dynamic model is positive and significant under clustered, CR2, and wild-bootstrap inference. However, the transition-by-starting-rank-tier stress test does not confirm the same dynamic premium, so the dynamic result must be described as sensitive to rank-position structure. The claim remains observational and does not identify a pure within-seller FBA switching effect.",A disciplined FBA-premium interpretation combining static residual ranking evidence with dynamic turnover-premium evidence.,Definitive causal identification of platform self-preferencing or automatic external validity beyond this product page.,Single-product Italian marketplace panel; observed disappearances rather than randomized stockouts; ranking outcome rather than sales or click-through.,credible but rank-tier-sensitive FBA-premium evidence
Dynamic placebo checks for total-turnover estimand,"[{'model_role': 'future_turnover_placebo', 'term': 'fba_x_future_dropouts_total', 'estimate': 6.346067672362884e-05, 'pvalue': 0.8854075805042818}, {'model_role': 'pretrend_turnover_placebo', 'term': 'fba_x_dropouts_total_focal', 'estimate': 0.0003137551644251883, 'pvalue': 0.4571530681813636}]",Turnover-timing validation: future turnover should not predict current rank movement and current turnover should not predict previous rank movement.,Proof of random assignment of turnover events.,Passing placebos hardens the design but does not eliminate unobserved time-varying confounding.,dynamic placebo validation
Permutation within transition x starting-rank-tier,"[{'observed_beta': 0.002467258032983047, 'permutation_mean': 0.0014916482421345992, 'permutation_sd': 0.0005870236167033614, 'permutation_p_value_two_sided': 0.0396, 'permutation_monte_carlo_se': 0.0027579644667761766, 'valid_permutations': 4999, 'requested_permutations': 4999, 'permutation_cell': 'transition_id x lag_rank_tier', 'interpretation': 'Randomizes FBA status locally within transition-by-starting-rank-tier cells; this is a rank-composition placebo for the primary total-turnover coefficient.'}]",Whether the observed FBA-by-turnover coefficient is unusual relative to local FBA-status reassignment within comparable transition-rank cells.,A definitive solution to thin support or unobserved seller quality.,"Permutation p-values near conventional thresholds should be reported with Monte Carlo uncertainty and interpreted as rank-composition hardening, not causal proof.",rank-composition placebo
